,STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08
170,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-19,1.79,,0.0,,96,66,280.0,270.0,10.1,16.1,,,
171,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-20,2.01,,0.0,,101,71,280.0,260.0,8.9,14.1,,,
172,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-21,2.68,,0.0,,89,67,140.0,170.0,10.1,16.1,,,1.0
173,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-22,1.79,,0.0,,84,63,270.0,270.0,10.1,14.1,1.0,,1.0
174,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-23,2.01,,0.0,,80,64,270.0,270.0,8.9,14.1,1.0,,1.0
175,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-24,2.24,,0.0,,79,64,270.0,270.0,10.1,16.1,1.0,,1.0
176,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-25,1.79,,0.0,,80,65,270.0,280.0,8.1,14.1,,,1.0
177,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-26,2.01,,0.0,,82,65,280.0,270.0,8.1,13.0,,,1.0
178,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-27,0.22,,0.0,,88,65,270.0,270.0,8.1,12.1,1.0,,1.0
179,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-28,2.01,,0.0,,86,67,270.0,260.0,8.9,14.1,1.0,,1.0
180,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-29,2.01,,0.0,,86,66,280.0,270.0,8.9,14.1,1.0,,1.0
181,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-06-30,1.34,,0.0,,82,66,270.0,270.0,8.9,14.1,,,1.0
